source_type,chunk_size,commit_interval,duration,integrity,loss,performance,compatibility,cost
excel,25568.81310186488,64258.16931758844,376.8711543083191,0.9,0.1,1.0,0.9,1642.948544
excel,33190.83985190214,50072.29067899999,407.0744593143463,0.9,0.1,1.0,0.9,1661.88968
